@MarceloFreixo twitterhandle
você você
é ser
: :
Pró pró
aborto aborto
? ?
Desarmamento desarmamento
da de_o
população população
e e
da de_o
polícia polícia
, ,
menos menos
dos de_o
bandidos bandido
? ?
Ideologia ideologia
de de
gênero gênero
? ?
Direitos direito
humanos humano
para para
marginal marginal
? ?
Liberação liberação
da de_o
maconha maconha
e e
doses dose
controladas controlar
de de
crack crack
? ?
Comunismo comunismo
nas em_o
escolas escola
e e
nas em_o
universidades universidade
? ?
? ?
? ?
Aumento aumento
da de_o
máquina máquina
pública público
? ?
? ?
