Tarcísio tarcísio
foi ser
eleito eleger
para para
governar governar
São são
Paulo paulo
ao a_o
gosto gosto
de de
Bolsonaro bolsonaro
e e
da de_o
extrema extremo
direita direita
. .
Apoiado apoiar
no em_o
conservadorismo conservadorismo
paulista paulista
, ,
estará estar
c c
/ /
patrões patrão
e e
direita direita
p p
/ /
impor impor
mais muito
ataques ataque
à a_o
classe classe
trabalhadora trabalhador
. .
Estaremos estar
na em_o
linha linha
de de
frente frente
para para
derrotá derrotá
-los eles
c c
/ /
a o
força força
nossa nosso
luta luta
HASHTAG hashtag
#eleicoes2022_h #eleicoes2022_h
