Tem ter
gente gente
que que
recebe receber
a o
carta carta
, ,
rasga rasgar
ela ela
em em
pedacinhos pedaço
e e
vai ir
pra para_o
rua rua
odiar odiar
gays gay
pra pra
se se
sentir sentir
mais mais
macho macho
. .
É ser
típico típico
do de_o
macho macho
" "
conservador conservador
, ,
cristão cristão
, ,
pela por_o
família família
e e
por por
Bolsonaro bolsonaro
" "
, ,
que que
no em_o
fundo fundo
só só
precisava precisar
pegar pegar
um um
boy boy
e e
aprender aprender
a a
ser ser
feliz feliz
sem sem
querer querer
briga briga
com com
ninguém ninguém
. .
