25 25_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
famílias família_NOUN_Fem_Plur
que que_PRON_Rel_Fem_Plur
recebiam receber_VERB_Fin_Plur
o o_DET_Masc_Sing
Bolsa bolsa_PROPN_Fem_Sing
Família família_PROPN_Sing
ou ou_CCONJ
o o_DET_Masc_Sing
Auxílio auxílio_PROPN_Masc_Sing
Emergencial emergencial_PROPN_Sing
foram ser_AUX_Fin_Plur
abandonadas abandonar_VERB_Part_Fem_Plur
por por_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
excluídas excluir_VERB_Part_Fem_Plur
do de_o_ADP_DET_Masc_Sing
Auxílio auxílio_PROPN_Masc_Sing
Brasil brasil_PROPN_Sing
. .
Desgoverno desgoverno_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
ódio ódio_NOUN_Masc_Sing
e e_CCONJ
da de_o_ADP_DET_Fem_Sing
fome fome_NOUN_Fem_Sing
. .
