Atacaram atacar
o o
acampamento acampamento
HASHTAG hashtag
#lulalivre_h #lulalivre_h
enquanto enquanto
dormiam dormir
. .
2 2
pessoas pessoa
baleadas balear
por por
atiradores atirador
que que
no em_o
ato ato
enalteciam enaltecer
bolsonaro bolsonaro
pedindo pedir
porte porte
de de
arma arma
? ?
! !
Uma um
das de_o
vítimas vítima
foi ser
atingida atingir
no em_o
pescoço pescoço
e e
se se
encontra encontrar
em em
estado estado
grave grave
! !
O o
fascismo fascismo
é ser
isso isso
. .
