@atalaia_20 twitterhandle_NOUN_Masc_Sing
@anterogreco twitterhandle_ADJ_Masc_Sing
Tirando tirando_VERB_Fin_Sing
a o_DET_Fem_Sing
exaltação exaltação_NOUN_Fem_Sing
à a_o_ADP_DET_Fem_Sing
tortura tortura_NOUN_Fem_Sing
e e_CCONJ
a o_DET_Fem_Sing
defesa defesa_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
ditadura ditadura_NOUN_Fem_Sing
( (
leia ler_VERB_Fin_Sing
sobre sobre_ADP
a o_DET_Fem_Sing
visão visão_NOUN_Fem_Sing
direitista direitista_ADJ_Fem_Sing
da de_o_ADP_DET_Fem_Sing
coisa coisa_NOUN_Fem_Sing
também também_ADV
) )
, ,
só só_ADV
citou citar_VERB_Fin_Sing
elogios elogio_NOUN_Masc_Plur
. .
Patriotismo patriotismo_NOUN_Masc_Sing
, ,
militarismo militarismo_NOUN_Masc_Sing
, ,
religião religião_NOUN_Fem_Sing
, ,
conservadorismo conservadorismo_NOUN_Masc_Sing
. .
. .
. .
Procure procurar_VERB_Fin_Sing
palavras palavra_NOUN_Fem_Plur
antagônicas antagônico_ADJ_Fem_Plur
a a_ADP
isto isto_PRON_Masc_Sing
e e_CCONJ
se se_PRON_Masc_Sing
pergunte perguntar_VERB_Fin_Sing
em em_ADP
que que_SCONJ
mundo mundo_PRON_Masc_Sing
prefere preferir_VERB_Fin_Sing
viver viver_VERB_Inf
