@May_mattos_ twitterhandle_VERB_Fin_Sing
Vacilão vacilão_PROPN_Masc_Sing
! !
! !
rs rs_NOUN_Masc_Plur
O o_DET_Fem_Sing
oposta oposto_ADJ_Fem_Sing
tb tb_NOUN_Fem_Sing
existe existir_VERB_Fin_Sing
: :
 "  "
vc vc_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
bonito bonito_ADJ_Masc_Sing
, ,
de de_ADP
família família_NOUN_Fem_Sing
bem bem_ADV
estruturada estruturar_VERB_Part_Fem_Sing
, ,
corpo corpo_NOUN_Masc_Sing
atlético atlético_ADJ_Masc_Sing
, ,
bem bem_ADP
empregado empregado_NOUN_Masc_Sing
, ,
pena pena_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
votou votar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
 "  "
Na em_o_ADP_DET_Fem_Sing
verdade verdade_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
um um_DET_Masc_Sing
grande grande_ADJ_Masc_Sing
livramento livramento_NOUN_Masc_Sing
! !
grinning_face_with_sweat_e grinning_face_with_sweat_e
