@juancgval twitterhandle_NOUN_Masc_Sing
@DamaresAlves twitterhandle_VERB_Fin_Sing
Espero esperar_VERB_Fin_Sing
que que_SCONJ
você você_PRON_Sing
tenha ter_VERB_Fin_Sing
discernimento discernimento_NOUN_Masc_Sing
e e_CCONJ
refletir refletir_VERB_Inf
! !
O o_DET_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
em em_ADP
tão tão_ADV
pouco pouco_DET_Masc_Sing
tempo tempo_NOUN_Masc_Sing
deu dar_VERB_Fin_Sing
uma um_DET_Fem_Sing
coisa coisa_NOUN_Fem_Sing
preciosa precioso_ADJ_Fem_Sing
, ,
mais mais_ADV
que que_SCONJ
qualquer qualquer_DET_Fem_Sing
riqueza riqueza_NOUN_Fem_Sing
física físico_ADJ_Fem_Sing
! !
Lutou lutar_VERB_Fin_Sing
pela por_o_ADP_DET_Fem_Sing
nossa nosso_DET_Fem_Sing
liberdade liberdade_NOUN_Fem_Sing
abrangente abrangente_ADJ_Fem_Sing
. .
