RT rt_PROPN_Masc_Sing
@revistaforum twitterhandle_VERB_Fin_Plur
: :
Família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
comprou comprar_VERB_Fin_Sing
metade metade_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
seu seu_DET_Masc_Sing
patrimônio patrimônio_NOUN_Masc_Sing
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
Desde desde_ADP
os o_DET_Masc_Plur
anos ano_NOUN_Masc_Plur
90 90_NUM
, ,
quando quando_ADV
o o_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
ingressou ingressar_VERB_Fin_Sing
na em_o_ADP_DET_Fem_Sing
… …
