@kimpkat twitterhandle_NOUN_Masc_Sing
Os o_DET_Masc_Plur
isentões isentões_NOUN_Masc_Plur
ajudam ajudar_VERB_Fin_Plur
comunistas comunista_ADJ_Masc_Plur
em em_ADP
tudo tudo_PRON_Masc_Sing
aquilo aquilo_PRON_Masc_Sing
onde onde_ADV
eles eles_PRON_Masc_Plur
efetivamente efetivamente_ADV
estão estar_AUX_Fin_Plur
lutando lutar_VERB_Part
, ,
e e_CCONJ
defendem defender_VERB_Fin_Plur
o o_PRON_Masc_Sing
que que_PRON_Int_Masc_Sing
comunistas comunista_NOUN_Masc_Plur
não não_ADV
estão estar_AUX_Fin_Plur
atacando atacar_VERB_Part
. .
Cadê cadê_ADV
que que_SCONJ
atacam atacar_VERB_Fin_Plur
a o_DET_Fem_Sing
parte parte_NOUN_Fem_Sing
corrupta corrupto_ADJ_Fem_Sing
, ,
esquerdista esquerdista_ADJ_Fem_Sing
, ,
e e_CCONJ
fisiológica fisiológico_ADJ_Fem_Sing
, ,
que que_PRON_Rel_Fem_Sing
retalia retaliar_VERB_Fin_Sing
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
pela por_o_ADP_DET_Fem_Sing
falta falta_NOUN_Fem_Sing
do de_o_ADP_PRON_Masc_Sing
toma tomar_VERB_Fin_Sing
lá lá_ADV
dá dar_VERB_Fin_Sing
cá cá_ADV
? ?
HASHTAG hashtag_PROPN_Masc_Sing
#leikim_h #leikim_h
