Senado senado
aprovou aprovar
a o
renda renda
básica básico
emergencial emergencial
de de
até até
R$ r$
1 1
, ,
2 2
mil mil
por por
família família
. .
Só só
falta faltar
Bolsonaro bolsonaro
sancionar sancionar
e e
pagar pagar
. .
Atualmente atualmente
, ,
há haver
38 38
milhões milhão
na em_o
informalidade informalidade
e e
11 11
, ,
6 6
mi milhão
de de
desempregados desempregado
. .
Este este
recurso recurso
é ser
pouco pouco
, ,
mas mas
ajudará ajudar
muitas muito
famílias família
em em
meio meio
à a_o
crise crise
do de_o
Covid-19 covid-19
. .
