@hylixwon twitterhandle
Um um
dia dia
depois depois
do de_o
ministro ministro
da de_o
defesa defesa
deixar deixar
o o
cargo cargo
, ,
no em_o
dia dia
de de
hoje hoje
, ,
os o
três três
comandantes comandante
das de_o
forças força
armadas armar
deixaram deixar
o o
cargo cargo
também também
porque porque
o o
Bolsonaro bolsonaro
tava tava
com com
uma um
tentativa tentativa
de de
unir unir
as o
forças força
armadas armar
com com
a o
política política
, ,
em em
poucas pouco
palavras palavra
tá estar
tentando tentar
uma um
nova novo
ditadura ditadura
militar militar
. .
: :
) )
