Isso isso
aqui aqui
só só
pode poder
ser ser
piada piar
de de
mau mau
gosto gosto
. .
Jorge jorge
Oliveira oliveira
obteve obter
a o
carteira carteira
da de_o
OAB oab
em em
2013 @card@
. .
A o
minha meu
- -
para para
vocês você
terem ter
uma um
ideia ideia
- -
é ser
de de
2012 @card@
. .
Além além
disso de_isso
, ,
só só
tem ter
uma um
especialização especialização
em em
Direito direito
Público público
e e
ocupou ocupar
cargos cargo
comissionados comissionar
para para
a o
família família
Bolsonaro bolsonaro
. .
. .
. .
e e
o o
que que
mais mais
? ?
