RT rt_PROPN_Masc_Sing
@marcosaraujjoo twitterhandle_VERB_Fin_Sing
: :
ENSAIO ensaio_NOUN_Masc_Sing
DE de_ADP
CERIMÔNIA cerimônia_PROPN_Fem_Sing
DA de_o_ADP_DET_Fem_Sing
POSSE posse_PROPN_Sing
DO de_o_ADP_DET_Masc_Sing
LULA lula_PROPN_Sing
. .
police_car_light_e police_car_light_e
ME me_PROPN_Sing
SIGAM sigam_PROPN_Sing
, ,
AQUI aqui_PROPN_Masc_Sing
TODOS todos_PROPN_Sing
SÃO são_PROPN_Masc_Sing
LULA lula_PROPN_Sing
! !
TAGS tags_NOUN_Masc_Plur
: :
O o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
nikolas nikolas_VERB_Fin_Sing
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
decepç decepç_VERB_Fin_Sing
… …
