Acabaram acabar
com com
o o
Bolsa bolsa
Família família
, ,
o o
maior grande
e e
mais mais
importante importante
programa programa
de de
transferência transferência
direta direto
de de
renda renda
do de_o
mundo mundo
; ;
programa programa
que que
rompeu romper
o o
ciclo ciclo
de de
pobreza pobreza
de de
milhões milhão
de de
famílias família
brasileiras brasileiro
, ,
que que
tirou tirar
o o
Brasil brasil
do de_o
Mapa mapa
Mundial mundial
da de_o
Fome fome
. .
Bolsonaro bolsonaro
é ser
genocida genocida
, ,
e e
prova provar
isso isso
todos todo
os o
dias dia
. .
