Ministro ministro
da de_o
Defesa defesa
pedindo pedir
demissão demissão
a a
poucos pouco
dias dia
das de_o
" "
comemorações comemoração
" "
do de_o
golpe golpe
de de
64 64
, ,
em em
meio meio
a a
um um
baita baita
clima clima
de de
motim motim
militar militar
, ,
e e
falando falar
que que
em em
seu seu
exercício exercício
" "
preservou preservar
as o
Forças forças
Armadas armadas
como como
instituição instituição
de de
Estado estado
" "
. .
É ser
isso isso
mesmo mesmo
que que
tá estar
acontecendo acontecer
. .
