@BolsonaroSP twitterhandle
Um um
dos de_o
assassinos assassino
de de
Marielle marielle
Franco franco
ser ser
vizinho vizinho
da de_o
família família
Bolsonaro bolsonaro
e e
manter manter
um um
arsenal arsenal
de de
117 @card@
fuzis fuzil
em em
casa casa
, ,
além além
de de
ser ser
amigo amigo
de de
seu seu
pai pai
, ,
outros outro
dois dois
milicianos miliciano
condenados condenar
e e
presos prender
, ,
receberem receber
homenagens homenagem
e e
honrarias honraria
do de_o
seu seu
irmão irmão
, ,
é ser
coincidência coincidência
mesmo mesmo
? ?
