@GuilhermeBoulos twitterhandle_NOUN_Masc_Plur
Lula lula_PROPN_Masc_Sing
ladrão ladrão_ADJ_Masc_Sing
seu seu_DET_Masc_Sing
lugar lugar_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
na em_o_ADP_DET_Fem_Sing
cadeia cadeia_NOUN_Fem_Sing
seu seu_DET_Masc_Sing
lixo lixo_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
inferno inferno_NOUN_Masc_Sing
canalia canalia_VERB_Fin_Sing
o o_DET_Masc_Sing
maior grande_ADJ_Masc_Sing
corrupto corrupto_ADJ_Masc_Sing
ladrão ladrão_NOUN_Masc_Sing
da de_o_ADP_DET
historia historiar_VERB_Fin_Sing
do de_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
filho filho_ADJ_Masc_Sing
da de_o_ADP_DET_Fem_Sing
p p_NOUN_Masc_Sing
. .
. .
angry_face_e angry_face_e
Bolsonaro bolsonaro_PROPN_Sing
está estar_AUX_Fin_Sing
reeleito reeleger_VERB_Part_Masc_Sing
em2022 em2022_NUM
parabéns parabéns_NOUN_Masc_Plur
presidente presidente_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
sempre sempre_ADV
ao a_o_ADP_DET_Masc_Sing
lado lado_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
brasileiro brasileiro_ADJ_Masc_Sing
Patriota patriota_PROPN_Masc_Sing
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
