@BrunoF3lip3 twitterhandle_ADV
@ramonptz twitterhandle_VERB_Fin_Sing
@AlzinxzW2 twitterhandle_NUM
@natii_laurmj twitterhandle_NOUN_Masc_Sing
@catitaadm twitterhandle_VERB_Fin_Plur
agora agora_ADV
coloca colocar_VERB_Fin_Sing
aí aí_ADV
sobre sobre_ADP
os o_DET_Masc_Plur
51 51_NUM
imóveis imóvel_NOUN_Masc_Plur
comprados comprar_VERB_Part_Masc_Plur
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
da de_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
bolsonaro bolsonaro_VERB_Fin_Sing
