RT rt_PROPN_Masc_Sing
DeputadoFederal deputadofederal_PROPN_Sing
: :
3 3_NUM
. .
A o_DET_Fem_Sing
decisão decisão_NOUN_Fem_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
Moro moro_PROPN_Sing
é ser_AUX_Fin_Sing
pagamento pagamento_NOUN_Masc_Sing
ao a_o_ADP_DET_Masc_Sing
lobby lobby_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
indústria indústria_NOUN_Fem_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
, ,
nos em_o_ADP_DET_Masc_Plur
EUA eua_PROPN_Masc_Plur
e e_CCONJ
em em_ADP
Israel israel_PROPN_Masc_Sing
. .
As o_DET_Fem_Plur
empresas empresa_NOUN_Fem_Plur
destes de_este_ADP_DET_Masc_Plur
dois dois_NUM
países país_NOUN_Masc_Plur
, ,
notórios notório_ADJ_Masc_Plur
por por_ADP
gastar gastar_VERB_Inf
mais mais_ADV
em em_ADP
armamento armamento_NOUN_Masc_Sing
de de_ADP
guerra guerra_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
em em_ADP
saúde saúde_NOUN_Fem_Sing
e e_CCONJ
educação educação_NOUN_Fem_Sing
públicas público_ADJ_Fem_Plur
, ,
terão ter_VERB_Fin_Plur
um um_DET_Masc_Sing
imenso imenso_ADJ_Masc_Sing
mercado mercado_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
… …
