Bolsonaro bolsonaro
sempre sempre
foi ser
contra contra
Bolsa-família bolsa-família
/ /
Transferência transferência
de de
renda renda
. .
A o
oposição oposição
conseguiu conseguir
aprovar aprovar
o o
aro aro
teme temer
perder perder
apoio apoio
de de
quem quem
recebe receber
. .
Aí aí
quer querer
$ $
de de
onde onde
? ?
Dos de_o
muito muito
ricos rico
? ?
Não não
! !
Da de_o
educação educação
, ,
dos de_o
aposentados aposentado
e e
de de
quem quem
foi ser
caloteado caloteado
do de_o
governo governo
