@Dom_Werneck twitterhandle_NOUN_Masc_Sing
@GeneralMourao twitterhandle_VERB_Fin_Sing
Quem quem_PRON_Rel_Sing
levou levar_VERB_Fin_Sing
facada facada_NOUN_Fem_Sing
pelo por_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
foi ser_AUX_Fin_Sing
Bolsonaro bolsonaro_NOUN_Masc_Sing
, ,
ele ele_PRON_Masc_Sing
comanda comandar_VERB_Fin_Sing
nosso nosso_DET_Masc_Sing
Braço braço_NOUN_Masc_Sing
Armado armar_VERB_Part_Masc_Sing
com com_ADP
aval aval_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
maioria maioria_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
Militares militar_ADJ_Masc_Plur
. .
Mourão mourão_PROPN_Masc_Sing
e e_CCONJ
Paulo paulo_PROPN_Masc_Sing
Guedes guedes_PROPN_Sing
estão estar_AUX_Fin_Plur
na em_o_ADP_DET_Fem_Sing
peneira peneira_NOUN_Fem_Sing
fina fino_ADJ_Fem_Sing
da de_o_ADP_DET_Fem_Sing
População população_PROPN_Fem_Sing
, ,
temos ter_AUX_Fin_Plur
que que_SCONJ
mostrar mostrar_VERB_Inf
com com_ADP
eficiência eficiência_NOUN_Fem_Sing
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
queremos querer_VERB_Fin_Plur
é é_ADV
ao a_o_ADP_DET_Masc_Sing
nosso nosso_DET_Masc_Sing
Exmº exmº_ADJ_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
, ,
ele ele_PRON_Masc_Sing
é ser_AUX_Fin_Sing
aberto abrir_VERB_Part_Masc_Sing
a a_ADP
aprender aprender_VERB_Inf
compatriota compatriota_NOUN_Fem_Sing
