@BlogdoNoblat twitterhandle_NOUN_Masc_Sing
Os o_DET_Masc_Plur
terroristas terrorista_ADJ_Masc_Plur
neo-nazistas neo-nazistas
apoiadores apoiador_ADJ_Masc_Plur
do de_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
também também_ADV
eram ser_AUX_Fin_Plur
comunistas comunista_ADJ_Masc_Plur
pela por_o_ADP_DET_Fem_Sing
lógica lógico_NOUN_Fem_Sing
brilhante brilhante_ADJ_Fem_Sing
do de_o_ADP_DET_Masc_Sing
ministro ministro_NOUN_Masc_Sing
. .
Será ser_AUX_Fin_Sing
que que_SCONJ
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
comunista comunista_ADJ_Masc_Sing
e e_CCONJ
agente agente_NOUN_Masc_Sing
não não_ADV
ta ta_VERB_Fin_Sing
sabendo saber_VERB_Ger
? ?
