Abro abrir
o o
instagram instagram
e e
vejo ver
stories stories
de de
uma um
passeata passeata
, ,
em em
minha meu
cidade cidade
, ,
de de
mulheres mulher
contra contra
o o
fascismo fascismo
de de
Bolsonaro bolsonaro
. .
Porém porém
, ,
ao a_o
fundo fundo
, ,
vejo ver
bandeiras bandeira
de de
partidos partido
comunistas comunista
. .
man_shrugging_light_skin_tone_e man_shrugging_light_skin_tone_e
Massa massa
de de
manobra manobra
é ser
pouco pouco
. .
Esquerda esquerda
sempre sempre
muito muito
esperta esperto
. .
