ISSO isso
É ser
NOJENTO nojento
! !
NÃO não
É é
ESSE esse
O o
HASHTAG hashtag
#brasil_h #brasil_h
QUE que
QUEREMOS querer
HASHTAG hashtag
#bolsonaro_h #bolsonaro_h
@jairbolsonaro twitterhandle
@SF_Moro twitterhandle
ponha pôr
um um
FIM fim
no em_o
HASHTAG hashtag
#indulto_h #indulto_h
CHEGA chega
de de
HASHTAG hashtag
#perdão_h #perdão_h
para para
HASHTAG hashtag
#ladrão_h #ladrão_h
Condenado condenar
na em_o
HASHTAG hashtag
#lavajato_h #lavajato_h
, ,
HASHTAG hashtag
#vaccari_h #vaccari_h
recebe receber
HASHTAG hashtag
#indulto_h #indulto_h
natalino natalino
e e
? ?
HASHTAG hashtag
#justiça_h #justiça_h
( (
? ?
) )
perdoa perdoar
pena pena
de de
24anos 24anos
HASHTAG hashtag
#lulanopresidio_h #lulanopresidio_h
