@Adrualdo twitterhandle
É ser
preciso preciso
que que
os o
verdadeiros verdadeiro
conservadores conservador
assumam assumir
o o
protagonismo protagonismo
da de_o
direita direita
. .
Fiscalizar fiscalizar
, ,
apontar apontar
os o
erros erro
e e
apresentar apresentar
alternativas alternativa
, ,
é ser
essa esse
direita direita
que que
precisa precisar
atuar atuar
. .
Não não
apresentem apresentar
soluções solução
populistas populista
, ,
Jair jair
Bolsonaro bolsonaro
foi ser
o o
pior mau
presidente presidente
que que
esse esse
país país
já já
teve ter
. .
