@BolsonaroSP twitterhandle
Queremos querer
liberdade liberdade
! !
Como como
? ?
Retirando retirar
os o
direitos direito
a a
democracia democracia
e e
dando dar
na em_o
mão mão
de de
militares militar
! !
Muito muito
bom bom
! !
Muito muito
efetivo efetivo
! !
Muito muito
conhecido conhecido
já já
as o
consequências consequência
destes de_este
atos ato
. .
Dia dia
12 12
/ /
09 @card@
é ser
o o
dia dia
de de
acabar acabar
com com
essas esse
narrativas narrativo
patéticas patético
e e
cobrar cobrar
planejamento planejamento
econômico econômico
e e
estratégico estratégico
! !
