@eduguim twitterhandle_VERB_Fin_Plur
Bolsominion bolsominion_PROPN_Masc_Sing
Kkkkkkk kkkkkkk_PROPN_Sing
cara cara_NOUN_Fem_Sing
quem quem_PRON_Rel_Fem_Sing
defende defender_VERB_Fin_Sing
bandido bandido_ADJ_Masc_Sing
ladrão ladrão_NOUN_Masc_Sing
de de_ADP
dinheiro dinheiro_NOUN_Masc_Sing
público público_ADJ_Masc_Sing
é é_ADV
tu tu_VERB_Fin_Sing
! !
Eu eu_PRON_Masc_Sing
quero querer_VERB_Fin_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
e e_CCONJ
Lula lula_PROPN_Masc_Sing
dividindo dividir_VERB_Ger
cela cela_NOUN_Fem_Sing
! !
E e_CCONJ
essa esse_PRON_Fem_Sing
de de_ADP
a o_DET_Fem_Sing
juíza juízo_NOUN_Fem_Sing
usar usar_VERB_Inf
a o_DET_Fem_Sing
sentenca sentenca_NOUN_Fem_Sing
do de_o_ADP_PRON_Masc_Sing
moro morar_VERB_Fin_Sing
e e_CCONJ
mais mais_ADV
uma um_DET_Fem_Sing
mentira mentira_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
defesa defesa_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
ladrão ladrão_NOUN_Masc_Sing
Lula lula_PROPN_Masc_Sing
e e_CCONJ
que que_PRON_Rel_Masc_Sing
não não_ADV
foi ser_AUX_Fin_Sing
aceita aceito_ADJ_Fem_Sing
! !
