@MarleneFFL twitterhandle_NOUN_Masc_Sing
É ser_AUX_Fin_Sing
isso isso_PRON_Masc_Sing
mesmo mesmo_ADJ_Masc_Sing
! !
O o_DET_Masc_Sing
PR pr_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
seus seu_DET_Masc_Plur
ministros ministro_NOUN_Masc_Plur
e e_CCONJ
nós nós_PRON_Plur
população população_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
votou votar_VERB_Fin_Sing
nele em_ele_ADP_PRON_Masc_Sing
, ,
vamos ir_AUX_Fin_Plur
vencer vencer_VERB_Inf
estas este_DET_Fem_Plur
dificuldades dificuldade_NOUN_Fem_Plur
, ,
só só_ADV
temos ter_AUX_Fin_Plur
que que_SCONJ
ter ter_AUX_Inf
paciência paciência_NOUN_Fem_Sing
! !
Estamos estar_AUX_Fin_Plur
numa em_um_ADP_DET_Fem_Sing
guerra guerra_NOUN_Fem_Sing
bastante bastante_ADV
cruenta cruento_ADJ_Fem_Sing
e e_CCONJ
difícil difícil_ADJ_Fem_Sing
, ,
mas mas_CCONJ
temos ter_VERB_Fin_Plur
Deus deus_INTJ
acima acima_ADV
de de_ADP
Tudo tudo_PRON_Masc_Sing
com com_ADP
a o_DET_Fem_Sing
gente gente_NOUN_Fem_Sing
e e_CCONJ
por por_ADP
isso isso_PRON_Masc_Sing
vamos ir_AUX_Fin_Plur
vencer vencer_VERB_Inf
! !
TMJ tmj_PROPN_Masc_Sing
