Pensava pensar
que que
a o
" "
facada facada
" "
no em_o
bolsonaro bolsonaro
seria ser
um um
daqueles de_aquele
casos caso
que que
demoram demorar
anos ano
para para
ser ser
elucidado elucidar
- -
como como
, ,
por por
exemplo exemplo
, ,
a o
morte morte
de de
JK jk
, ,
se se
num em_um
simples simples
acidente acidente
de de
carro carro
ou ou
obra obra
dos de_o
milicos milico
. .
Hoje hoje
sabemos saber
que que
foram ser
os o
milicos milico
. .
O o
doc doc
" "
A o
facada facada
no em_o
mito mito
" "
não não
deixa deixar
dúvidas dúvida
sobre sobre
a o
armação armação
. .
