Atestado atestado
: :
Rodrigo rodrigo
Maia maia
( (
Nhonho nhonho
) )
desmoraliza desmoralizar
, ,
ostensivamente ostensivamente
, ,
o o
Gov gov
Bolsonaro bolsonaro
e e
inviabiliza inviabilizar
investimentos investimento
de de
empresários empresário
no em_o
Br br
! !
Traidor traidor
da de_o
pátria pátria
que que
merece merecer
, ,
já já
, ,
o o
ódio ódio
de de
todos todo
e e
a o
sua seu
punição punição
contra contra
segurança segurança
e e
interesses interesse
nacionais nacional
: :
pústula pústula
corrupta corrupto
! !
