A o_DET_Fem_Sing
matéria matéria_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
UOL uol_NOUN_Masc_Sing
saiu sair_VERB_Fin_Sing
pela por_o_ADP_DET_Fem_Sing
manhã manhã_NOUN_Fem_Sing
. .
São são_PROPN_Masc_Sing
20:30 @card@
, ,
então então_ADV
o o_DET_Masc_Sing
patrimônio patrimônio_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
já já_ADV
deve dever_AUX_Fin_Sing
ter ter_AUX_Inf
subido subir_VERB_Part_Masc_Sing
de de_ADP
107 @card@
pra pra_ADP
uns um_DET_Masc_Plur
111 111_NUM
, ,
112 @card@
imóveis imóvel_NOUN_Masc_Plur
. .
Tudo tudo_PRON_Masc_Sing
pago pagar_VERB_Part_Masc_Sing
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
, ,
afinal afinal_ADV
todo todo_DET_Masc_Sing
brasileiro brasileiro_NOUN_Masc_Sing
compra comprar_VERB_Fin_Sing
imóveis imóvel_NOUN_Masc_Plur
desse de_esse_ADP_DET_Masc_Sing
jeito jeito_NOUN_Masc_Sing
. .
