A o_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Fem_Sing
, ,
que que_PRON_Rel_Fem_Sing
fez fazer_VERB_Fin_Sing
carreira carreira_NOUN_Fem_Sing
na em_o_ADP_DET_Fem_Sing
política política_NOUN_Fem_Sing
há há_ADP
35 35_NUM
anos ano_NOUN_Masc_Plur
, ,
tem ter_VERB_Fin_Sing
107 @card@
imóveis imóvel_NOUN_Masc_Plur
comprados comprar_VERB_Part_Masc_Plur
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
? ?
Parece parecer_AUX_Fin_Sing
honesto honesto_ADJ_Masc_Sing
né né_NOUN_Masc_Sing
? ?
Nem nem_CCONJ
parece parecer_VERB_Fin_Sing
coisa coisa_NOUN_Fem_Sing
de de_ADP
rachadinha rachadinha_NOUN_Fem_Sing
de de_ADP
miliciano miliciano_NOUN_Masc_Sing
grimacing_face_e grimacing_face_e
