Família família
boçal boçal
se se
revelando revelar
a o
nata nata
da de_o
sociedd sociedd
miliciana miliciano
, ,
a o
hipocrisia hipocrisia
da de_o
elite elite
do de_o
atraso atraso
se se
revela revelar
! !
C c
/ /
o o
disse dizer
Papa papa
e e
Lula lula
" "
A o
Verdade verdade
Vencerá vencerá
" "
HASHTAG hashtag
#tsunami30m_h #tsunami30m_h
HASHTAG hashtag
#lulalivrequintasdv_h #lulalivrequintasdv_h
Miliciano miliciano
preso presar
p p
/ /
grilagem grilagem
d d
terras terra
no em_o
DF df
é ser
tio tio
d d
Michelle michelle
Bolsonaro bolsonaro
via ver
@brasil247 twitterhandle
