Explica explicar
, ,
Senador senador
Omar omar
Aziz aziz
, ,
porque porque
o o
senhor senhor
não não
deu dar
voz voz
de de
prisão prisão
ao a_o
depoente depoente
que que
acusou acusar
sua seu
família família
de de
desviar desviar
260 260
milhões milhão
da de_o
Saúde saúde
? ?
Vamos ir
ver ver
as o
próximas próximo
atrações atração
do de_o
Circo circo
Parlamentar parlamentar
de de
Inquérito inquérito
. .
Reafirmo:HASHTAG reafirmo:hashtag
#fechadocombolsonaroate2026_h #fechadocombolsonaroate2026_h
