Quem quem
espalhar espalhar
fake fake
news news
sobre sobre
o o
coronavírus coronavírus
poderá poder
ser ser
multado multar
no em_o
Ceará ceará
. .
A o
medida medida
foi ser
aprovada aprovar
hoje hoje
pela por_o
Assembleia assembleia
Legislativa legislativa
. .
Apenas apenas
dois dois
deputados deputado
foram ser
contra contra
: :
André andré
Fernandes fernandes
e e
Dra dra
. .
Silvana silvana
, ,
ambos ambos
da de_o
base base
de de
Bolsonaro bolsonaro
. .
O o
argumento argumento
foi ser
: :
" "
fere ferir
a o
liberdade liberdade
de de
expressão expressão
" "
. .
flushed_face_e flushed_face_e
