@BolsonaroSP twitterhandle_NOUN_Masc_Sing
@pauloap twitterhandle_ADJ_Masc_Sing
. .
. .
. .
globalista globalista_ADJ_Masc_Sing
, ,
socialista socialista_ADJ_Masc_Sing
/ /
comunista comunista_ADJ_Masc_Sing
, ,
lacradora lacradora_ADJ_Fem_Sing
, ,
enfim enfim_ADV
, ,
em em_ADP
qualquer qualquer_DET_Masc_Sing
espaço espaço_NOUN_Masc_Sing
ou ou_CCONJ
mídia mídia_NOUN_Fem_Sing
mobile_phone_e mobile_phone_e
laptop_e laptop_e
radio_e radio_e
television_e television_e
, ,
sem sem_ADP
isentismo isentismo_NOUN_Masc_Sing
. .
Pessoas pessoa_NOUN_Fem_Plur
que que_PRON_Rel_Fem_Plur
sejam ser_AUX_Fin_Plur
ligadas ligar_VERB_Part_Fem_Plur
com com_ADP
esse esse_DET_Masc_Sing
estilo estilo_NOUN_Masc_Sing
de de_ADP
comunicação comunicação_NOUN_Fem_Sing
direta direto_ADJ_Fem_Sing
de de_ADP
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
, ,
filhos filho_NOUN_Masc_Plur
, ,
e e_CCONJ
aliados aliado_NOUN_Masc_Plur
, ,
principalmente principalmente_ADV
no em_o_ADP_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
tange tanger_VERB_Fin_Sing
às a_o_ADP_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
. .
E e_CCONJ
pra pra_ADP
completar completar_VERB_Inf
, ,
o o_PRON_Masc_Sing
. .
. .
. .
