Estou estar
pedindo pedir
ao a_o
MP mp
que que
apure apurar
mais mais
esse esse
absurdo absurdo
do de_o
governo governo
Bolsonaro bolsonaro
: :
famílias família
do de_o
semiárido semiárido
mineiro mineiro
tiveram ter
que que
pagar pagar
para para
fazer fazer
parte parte
do de_o
programa programa
de de
construção construção
de de
cisternas cisterna
federal federal
. .
Famílias família
de de
baixa baixo
renda renda
fizeram fazer
empréstimos empréstimo
para para
arcar arcar
com com
as o
obras obra
: :
