Bolsonaro bolsonaro
está estar
matando matar
com com
a o
negação negação
do de_o
perigo perigo
do de_o
vírus vírus
microbe_e microbe_e
Tem ter
q q
responder responder
criminalmente criminalmente
por por
mandar mandar
as o
pessoas pessoa
tomarem tomar
cloroquina cloroquina
, ,
não não
usar usar
máscara máscara
e e
incentivar incentivar
aglomerações aglomeração
. .
Hoje hoje
um um
bolsonarista bolsonarista
conhecido conhecido
da de_o
minha meu
família família
faleceu falecer
. .
Usou usar
cloroquina cloroquina
e e
prejudicou prejudicar
o o
pulmão pulmão
