Só só
pode poder
ser ser
rabo rabo
preso prender
do de_o
Bolsonaro bolsonaro
. .
Demite demitir
e e
readmite readmite
por por
369 @card@
reais real
a a
menos menos
. .
O o
que que
este este
rapaz rapaz
, ,
amigo amigo
da de_o
família família
, ,
ameaçou ameaçar
contar contar
? ?
Rachadinha rachadinha
, ,
Queiroz queiroz
, ,
Micheque micheque
. .
. .
. .
Após após
apelo apelo
de de
filhos filho
de de
Bolsonaro bolsonaro
, ,
ex-secretário-executivo ex-secretário-executivo
ganha ganhar
novo novo
cargo cargo
na em_o
Casa casa
Civil civil
