Depois depois
de de
60 60
pedidos pedido
de de
72 72
horas hora
, ,
Bolsonaro bolsonaro
faz fazer
discurso discurso
de de
despedida despedido
avisando avisar
que que
nada nada
vai ir
fazer fazer
. .
Que que
valha valer
de de
aprendizado aprendizado
, ,
especialmente especialmente
os o
que que
brigaram brigar
com com
parentes parente
e e
amigos amigo
achando achar
que que
governantes governante
cuidariam cuidar
de de
nós nós
e e
das de_o
nossas nosso
famílias família
. .
Vamos ir
buscar buscar
a o
paz paz
entre entre
nós nós
. .
