@exercitooficial twitterhandle
ALERTA alertar
Povo povo
Brasileiro brasileiro
; ;
Não não
vamos ir
entregar entregar
o o
Brasil brasil
pra para_o
bandidagem bandidagem
e e
comunistas comunista
Corruptos corrupto
, ,
Pra pra
CIMA cima
Povo povo
Brasileiro brasileiro
oncoming_fist_e oncoming_fist_e
oncoming_fist_e oncoming_fist_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
skull_e skull_e
dagger_e dagger_e
backhand_index_pointing_left_e backhand_index_pointing_left_e
Bolsonaro bolsonaro
reeleito reeleger
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
oncoming_fist_e oncoming_fist_e
oncoming_fist_e oncoming_fist_e
backhand_index_pointing_left_e backhand_index_pointing_left_e
Bolsonaro bolsonaro
foi ser
REELEITO reeleito
confiem confiar
backhand_index_pointing_left_e backhand_index_pointing_left_e
oncoming_fist_e oncoming_fist_e
oncoming_fist_e oncoming_fist_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
