Vender vender
-se se
por por
maior grande
ou ou
mais muito
poder poder
político político
e e
financeiro financeiro
é ser
só só
para para
corruptos corrupto
. .
Bolsonaro bolsonaro
eu eu
um um
traidor traidor
da de_o
pátria pátria
, ,
irresponsável irresponsável
, ,
pessoas pessoa
morrem morrer
por por
falta falta
de de
oxigênio oxigênio
. .
Leitos leito
. .
Respiradores respirador
. .
Falta faltar
empregos emprego
. .
O o
custo custo
de de
vida vida
subiu subir
. .
. .
. .
Mas mas
HASHTAG hashtag
#bolsonarocompracongresso_h #bolsonarocompracongresso_h
por por
governabilidade governabilidade
