Tio tio
de de
Michelle michelle
Bolsonaro bolsonaro
é ser
miliciano miliciano
mas mas
não não
tem ter
nada nada
a a
ver ver
com com
o o
vizinho vizinho
de de
Jair jair
que que
também também
é ser
miliciano miliciano
nem nem
com com
o o
ex-funcionário ex-funcionário
do de_o
Flávio flávio
parente parente
de de
miliciano miliciano
nem nem
com com
o o
Queiroz queiroz
ligado ligar
a a
milicianos miliciano
e e
nem nem
tem ter
relação relação
com com
as o
homenagens homenagem
a a
milicianos miliciano
feitas fazer
pela por_o
família família
. .
Tá estar
ok ok
? ?
