Estava estar
discutindo discutir
no em_o
wpp wpp
com com
um um
parente parente
, ,
que que
mesmo mesmo
sabendo saber
que que
não não
voto votar
no em_o
22 22
, ,
ficou ficar
mandando mandar
os o
vídeos vídeo
de de
fake fake
news news
. .
Hoje hoje
depois depois
que que
Lula lula
ganhou ganhar
fui ser
ver ver
o o
chat chat
, ,
e e
ele ele
havia haver
apagado apagar
todas todo
mensagens mensagem
em em
que que
ele ele
defendia defender
Bolsonaro bolsonaro
e e
acusava acusar
o o
Lula lula
" "
comunista comunista
" "
. .
. .
. .
hahaha hahaha
HASHTAG hashtag
#eleicao2022_h #eleicao2022_h
