Bolsonaro bolsonaro
vetou vetar
o o
PL pl
que que
ampliava ampliar
as o
possibilidades possibilidade
para para
famílias família
monoparentais monoparentais
receberem receber
o o
auxilio auxiliar
emergencial emergencial
, ,
prejudicando prejudicar
as o
crianças criança
. .
O o
PL pl
priorizava priorizava
mães mãe
solo solo
e e
permitia permitir
que que
pais pai
solo solo
recebessem receber
em em
dobro dobro
, ,
como como
é ser
o o
caso caso
das de_o
mães mãe
solo solo
. .
Vamos ir
derrubar derrubar
esse esse
veto veto
absurdo absurdo
! !
