@monicabergamo twitterhandle
Bolsonaro bolsonaro
admira admirar
torturador torturador
, ,
apoia apoiar
tudo tudo
de de
desumano desumano
, ,
um um
cara cara
sádico sádico
, ,
falso falso
moralista moralista
que que
alimenta alimentar
ódio ódio
! !
Usa usar
Deus deus
pra pra
se se
promover promover
Identifica identificar
-se se
com com
monstros monstro
da de_o
história história
. .
E e
seus seu
seguidores seguidor
identificam identificar
-se se
com com
essa esse
alma alma
colérica colérico
, ,
( (
observe observar
nas em_o
entrelinhas entrelinha
dessa de_esse
gente gente
) )
