A o_DET_Fem_Sing
luta luta_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
do de_o_ADP_DET_Masc_Sing
bem bem_NOUN_Masc_Sing
contra contra_ADP
o o_DET_Masc_Sing
mal mal_NOUN_Masc_Sing
. .
Eu eu_PRON_Fem_Sing
sou ser_AUX_Fin_Sing
Bolsonaro bolsonaro_NOUN_Masc_Sing
por por_ADP
convicção convicção_NOUN_Fem_Sing
de de_ADP
querer querer_VERB_Inf
o o_DET_Masc_Sing
melhor bom_ADJ_Masc_Sing
para para_ADP
mim eu_PRON_Sing
, ,
a a_ADP
minha meu_DET_Fem_Sing
família família_NOUN_Fem_Sing
e e_CCONJ
o o_DET_Masc_Sing
meu meu_DET_Masc_Sing
país país_NOUN_Masc_Sing
. .
HASHTAG hashtag_PROPN_Masc_Sing
#bolsonaronoprimeiroturno_h #bolsonaronoprimeiroturno_h
Quem quem_PRON_Rel_Sing
apóia apoiar_VERB_Fin_Sing
bandido bandido_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
bandido bandido_ADJ_Masc_Sing
. .
