Além além_ADV
disso de_isso_ADP_PRON_Masc_Sing
ou ou_CCONJ
de de_ADP
tudo tudo_PRON_Masc_Sing
isso isso_PRON_Masc_Sing
, ,
ela ela_PRON_Fem_Sing
tem ter_VERB_Fin_Sing
um um_DET_Masc_Sing
canal canal_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
YouTube youtube_PROPN_Masc_Sing
e e_CCONJ
lá lá_ADV
aborda abordar_VERB_Fin_Sing
temas tema_NOUN_Masc_Plur
( (
descendo descender_VERB_Fin_Sing
o o_DET_Masc_Sing
pau pau_NOUN_Masc_Sing
, ,
óbvio óbvio_ADJ_Masc_Sing
) )
nós nó_NOUN_Masc_Plur
comunistas comunista_ADJ_Masc_Plur
. .
Ela ela_PRON_Fem_Sing
é ser_AUX_Fin_Sing
contra contra_ADP
o o_DET_Masc_Sing
aborto aborto_NOUN_Masc_Sing
e e_CCONJ
já já_ADV
abortou abortar_VERB_Fin_Sing
Intolerante intolerante_NOUN_Masc_Sing
à a_o_ADP_DET
outras outro_DET_Fem_Plur
crenças crença_NOUN_Fem_Plur
e e_CCONJ
ela ela_PRON_Fem_Sing
era ser_AUX_Fin_Sing
atéia atéia_ADJ_Fem_Sing
E e_CCONJ
pró pró_ADV
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
como como_ADV
se se_PRON
fosse ser_AUX_Fin_Sing
novidade novidade_NOUN_Fem_Sing
