Enquanto enquanto
defende defender
a o
redução redução
do de_o
auxílio auxílio
de de
R$ r$
600 600
a a
informais informal
, ,
Bolsonaro bolsonaro
não não
hesita hesitar
em em
aprovar aprovar
aumento aumento
de de
benefícios benefício
ao a_o
oficialato oficialato
das de_o
Forças forças
Armadas armadas
. .
Um um
grupo grupo
de de
militares militar
com com
salários salário
brutos bruto
que que
podem poder
chegar chegar
a a
R$ r$
50 50
mil mil
terá ter
um um
aumento aumento
de de
até até
R$ r$
1 1
. .
600 600
. .
