@PaulaKirma twitterhandle
Pois pois
é ser
, ,
assustador assustador
como como
quem quem
trafica traficar
cocaína cocaína
no em_o
avião avião
presidencial presidencial
, ,
quem quem
comete cometer
rachadinha rachadinha
, ,
quem quem
faz fazer
atentado atentado
à a_o
bomba bomba
a a
quartel quartel
, ,
quem quem
faz fazer
tráfico tráfico
internacional internacional
de de
joias joia
públicas público
, ,
quem quem
recebe receber
propina propina
em em
ouro ouro
, ,
quem quem
criou criar
orçamento orçamento
secreto secreto
, ,
ainda ainda
não não
tá estar
na em_o
cadeia cadeia
. .
. .
. .
BOLSONARO bolsonaro
LADRÃO ladrão
