@leandroruschel twitterhandle
A o
imprensa imprensa
sempre sempre
noticiou noticiar
crimes crime
cometidos cometer
por por
políticos político
, ,
tem ter
que que
ser ser
muito muito
ignorante ignorante
pra pra
não não
perceber perceber
isso isso
. .
Quem quem
quer querer
acabar acabar
com com
investigação investigação
de de
crime crime
de de
político político
é é
Bolsonaro bolsonaro
, ,
que que
quer querer
proteger proteger
os o
filhos filho
corruptos corrupto
. .
E e
não não
foi ser
chegada chegar
dos de_o
conservadores conservador
, ,
mas mas
da de_o
extrema-direita extrema-direita
. .
