Eu eu
não não
entendi entender
o o
motivo motivo
dos de_o
petistas petista
dizerem dizer
q q
Bolsonaro bolsonaro
fugiu fugir
do de_o
Brasil brasil
, ,
ao a_o
viajar viajar
p p
/ /
passar passar
30 30
dias dia
de de
férias férias
e e
descanso descanso
com com
a o
família família
nos em_o
EUA eua
. .
Havia haver
mandado mandar
de de
prisão prisão
contra contra
ele ele
? ?
Qual qual
crime crime
responde responder
? ?
Deve dever
ser ser
a o
única único
pessoa pessoa
do de_o
mundo mundo
a a
" "
fugir fugir
" "
em em
um um
avião avião
presidencial presidencial
. .
