Atenção atenção
militância militância
. .
Esqueçam esquecer
a o
pauta pauta
dos de_o
costumes costume
! !
O o
povo povo
brasileiro brasileiro
é ser
conservador conservador
, ,
portanto portanto
, ,
não não
caiam cair
em em
ciladas cilada
datadas datar
. .
A o
pauta pauta
dos de_o
costumes costume
só só
interessa interessar
ao a_o
genocida genocida
Bolsonaro bolsonaro
e e
sua seu
súcia súcia
de de
milícos milícos
e e
focar focar
na em_o
economia economia
e e
apontar apontar
o o
desastre desastre
que que
é ser
esse esse
desgoverno desgoverno
