A o_DET_Fem_Sing
semana semana_NOUN_Fem_Sing
se se_PRON_Fem_Sing
encerra encerrar_VERB_Fin_Sing
com com_ADP
mais mais_ADV
uma um_DET_Fem_Sing
tragédia tragédia_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
desgoverno desgoverno_NOUN_Masc_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
: :
hoje hoje_ADV
acontece acontecer_VERB_Fin_Sing
o o_DET_Masc_Sing
último último_ADJ_Masc_Sing
pagamento pagamento_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Bolsa bolsa_PROPN_Fem_Sing
Família família_PROPN_Sing
. .
São ser_AUX_Fin_Plur
mais mais_ADV
de de_ADP
13 13_NUM
, ,
9 9_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
famílias família_NOUN_Fem_Plur
que que_PRON_Rel_Fem_Plur
deixarão deixar_AUX_Fin_Plur
de de_ADP
receber receber_VERB_Inf
esse esse_DET_Masc_Sing
auxílio auxílio_NOUN_Masc_Sing
. .
. .
. .
em em_ADP
um um_DET_Masc_Sing
país país_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
acabou acabar_AUX_Fin_Sing
de de_ADP
voltar voltar_VERB_Inf
ao a_o_ADP_DET_Masc_Sing
mapa mapa_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
fome fome_NOUN_Fem_Sing
! !
É ser_AUX_Fin_Sing
uma um_DET_Fem_Sing
tragédia tragédia_NOUN_Fem_Sing
anunciada anunciar_VERB_Part_Fem_Sing
! !
