Como como_ADV
alguém alguém_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
se se_PRON
diz dizer_VERB_Fin_Sing
cristão cristão_NOUN_Masc_Sing
pode poder_AUX_Fin_Sing
votar votar_VERB_Inf
em em_ADP
alguém alguém_PRON_Masc_Sing
tão tão_ADV
diferente diferente_ADJ_Fem_Sing
de de_ADP
Cristo cristo_PROPN_Masc_Sing
. .
Na em_o_ADP_DET_Fem_Sing
Cruz cruz_PROPN_Sing
, ,
Cristo cristo_PROPN_Masc_Sing
salvou salvar_VERB_Fin_Sing
o o_DET_Masc_Sing
bom bom_ADJ_Masc_Sing
ladrão ladrão_NOUN_Masc_Sing
. .
Bolsonaro bolsonaro_PROPN_Masc_Sing
entende entender_VERB_Fin_Sing
que que_SCONJ
bandido bandido_NOUN_Masc_Sing
bom bom_ADJ_Masc_Sing
é ser_AUX_Fin_Sing
bandido bandido_ADJ_Masc_Sing
morto morrer_VERB_Part_Masc_Sing
. .
Cristo cristo_PROPN_Masc_Sing
andou andar_VERB_Fin_Sing
com com_ADP
prostituta prostituta_NOUN_Fem_Sing
e e_CCONJ
com com_ADP
os o_DET_Masc_Plur
pobres pobre_ADJ_Masc_Plur
. .
. .
. .
. .
