Nossa nossa
! !
Meu meu
Deus deus
do de_o
céu céu
! !
Que que
absurdo absurdo
! !
As o
pessoas pessoa
foram ser
a a
uma um
manifestação manifestação
POLÍTICA político
, ,
crítica crítico
às a_o
POLÍTICAS política
do de_o
presidente presidente
Bolsonaro bolsonaro
, ,
utilizando utilizar
camisas camisa
e e
bandeiras bandeira
de de
partido partido
POLÍTICO político
. .
É ser
um um
absurdo absurdo
esse esse
negócio negócio
de de
usar usar
partido partido
POLÍTICO político
na em_o
POLÍTICA política
! !
Inaceitável inaceitável
! !
