Bolsonaro bolsonaro
propôs propor
a o
" "
PEC pec
da de_o
liberdade liberdade
" "
( (
diminuirá diminuir
os o
investimentos investimento
públicos público
em em
saúde saúde
e e
educação educação
e e
reduzirá reduzir
o o
valor valor
do de_o
salário salário
mínimo pequeno
) )
. .
Também também
quer querer
dar dar
$17 $17
bilhões bilhão
aos a_o
ruralistas ruralista
( (
$público $público
, ,
é ser
claro claro
) )
. .
Mas mas
para para
ocultar ocultar
esses esse
ataques ataque
aos a_o
trabalhadores trabalhador
, ,
o o
facho facho
quer querer
armar armar
o o
cidadão cidadão
de de
bem bem
. .
