@Helena1Patr twitterhandle_NOUN_Masc_Sing
Chola chola_VERB_Fin_Sing
mais muito_DET_Fem_Sing
Patricia patricia_PROPN_Fem_Sing
, ,
tá estar_AUX_Fin_Sing
divetido divetido_VERB_Part
essas esse_DET_Fem_Plur
ideias ideia_NOUN_Fem_Plur
mirabolantes mirabolante_ADJ_Fem_Plur
para para_ADP
desmontar desmontar_VERB_Inf
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
mas mas_CCONJ
não não_ADV
dá dar_VERB_Fin_Sing
pra pra_ADP
chamá chamá_VERB_Fin_Sing
-lo ele_PRON_Masc_Sing
de de_ADP
ladrão ladrão_NOUN_Masc_Sing
e e_CCONJ
corrupto corrupto_ADJ_Masc_Sing
. .
Vocês você_PRON_Fem_Plur
da de_o_ADP_DET_Fem_Sing
esquerda esquerda_NOUN_Fem_Sing
são ser_AUX_Fin_Plur
patéticos patético_ADJ_Masc_Plur
. .
