@PauloMartins10 twitterhandle
A o
Ilona ilona
Sazbó sazbó
, ,
desarmamentista desarmamentista
ferrenha ferrenho
, ,
assinou assinar
um um
manifesto manifesto
que que
dizia dizer
que que
Bolsonaro bolsonaro
não não
passa passar
de de
" "
uma um
ameaça ameaça
franca franco
ao a_o
nosso nosso
patrimônio patrimônio
civilizatório civilizatório
primordial primordial
" "
. .
Não não
tem ter
um um
assessor assessor
na em_o
porra porra
do de_o
ministério ministério
do de_o
Moro moro
para para
averiguar averiguar
a o
biografia biografia
dos de_o
nomeados nomear
? ?
PQP pqp
! !
