APROVADA aprovar
, ,
no em_o
Senado senado
, ,
a o
renda renda
mínima pequeno
emergencial emergencial
que que
garante garantir
até até
1200 1200
reais real
por por
família família
, ,
inclusive inclusive
monoparentais monoparentais
. .
Bolsonaro bolsonaro
precisa precisar
sancionar sancionar
logo logo
! !
As o
famílias família
têm ter
que que
ser ser
informadas informar
sobre sobre
o o
procedimento procedimento
para para
receberem receber
rápido rápido
. .
Quem quem
tem ter
fome fome
não não
pode poder
esperar esperar
! !
HASHTAG hashtag
#pagalogobolsonaro_h #pagalogobolsonaro_h
