Ação ação_NOUN_Fem_Sing
acusava acusar_VERB_Fin_Sing
o o_DET_Masc_Sing
ex-ministro ex-ministro
pelo por_o_ADP_DET_Masc_Sing
crime crime_NOUN_Masc_Sing
de de_ADP
corrupção corrupção_NOUN_Fem_Sing
passiva passivo_ADJ_Fem_Sing
pelo por_o_ADP_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
falou falar_VERB_Fin_Sing
em em_ADP
seu seu_DET_Masc_Sing
pronunciamento pronunciamento_NOUN_Masc_Sing
sobre sobre_ADP
ter ter_AUX_Inf
pedido pedir_VERB_Part_Masc_Sing
a a_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
que que_SCONJ
sua seu_DET_Fem_Sing
 "  "
família família_NOUN_Fem_Sing
não não_ADV
ficasse ficar_VERB_Fin_Sing
desamparada desamparar_VERB_Part_Fem_Sing
sem sem_ADP
uma um_DET_Fem_Sing
pensão pensão_NOUN_Fem_Sing
