Mesmo mesmo
com com
todas todo
as o
acusações acusação
, ,
Bolsonaro bolsonaro
nomeou nomear
o o
amigo amigo
do de_o
filho filho
investigado investigar
para para
a o
diretoria diretoria
da de_o
Polícia polícia
Federal federal
. .
Não não
resta restar
dúvidas dúvida
de de
que que
ele ele
quer querer
usar usar
a o
PF pf
p p
/ /
blindar blindar
sua seu
família família
. .
56 56
% %
dos de_o
brasileiros brasileiro
também também
se se
convenceram convencer
disso de_isso
, ,
segundo segundo
o o
DataFolha datafolha
. .
Era ser
essa esse
a o
tal tal
nova novo
política política
? ?
