@Rodri__Melo twitterhandle_VERB_Fin_Sing
@thiagosantos2 twitterhandle_NUM
@Jason_Burn twitterhandle_NOUN_Masc_Sing
@leandroruschel twitterhandle_ADJ_Masc_Sing
@SaabBrasil twitterhandle_ADJ_Masc_Sing
@GugaNoblat twitterhandle_NOUN_Masc_Sing
nossa nosso_DET_Fem_Sing
cultura cultura_NOUN_Fem_Sing
na em_o_ADP_DET_Fem_Sing
verdade verdade_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
a ela_PRON_Fem_Sing
do de_o_ADP_DET_Masc_Sing
militar militar_NOUN_Masc_Sing
corrupto corrupto_ADJ_Masc_Sing
q q_NOUN_Masc_Sing
repassa repassar_VERB_Fin_Sing
arma arma_NOUN_Fem_Sing
pro pro_ADJ_Masc_Sing
crime crime_NOUN_Masc_Sing
organizado organizar_VERB_Part_Masc_Sing
e e_CCONJ
depois depois_ADV
faz fazer_VERB_Fin_Sing
arminha arminha_NOUN_Fem_Sing
na em_o_ADP_DET_Fem_Sing
rede rede_NOUN_Fem_Sing
social social_ADJ_Fem_Sing
em em_ADP
apoio apoio_NOUN_Masc_Sing
ao a_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
falando falar_VERB_Ger
q q_NOUN_Masc_Sing
 "  "
armar armar_VERB_Inf
cidadão cidadão_NOUN_Masc_Sing
civil civil_ADJ_Masc_Sing
é ser_AUX_Fin_Sing
a o_DET_Fem_Sing
resposta resposta_NOUN_Fem_Sing
para para_ADP
o o_DET_Masc_Sing
crime crime_NOUN_Masc_Sing
diminuir diminuir_VERB_Inf
 "  "
( (
e e_CCONJ
q q_NOUN_Masc_Sing
eu eu_PRON_Masc_Sing
ajudei ajudar_VERB_Fin_Sing
a a_ADP
aumentar aumentar_VERB_Inf
) )
